Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
YP_005352880,2012-03-30T00:00:00Z,Common moorhen coronavirus HKU21,6208,China: Hong Kong,Gallinula chloropus,,2007,orf1ab gene product [Common moorhen coronavirus HKU21]
YP_005352837,2012-03-30T00:00:00Z,White-eye coronavirus HKU16,6295,China: Hong Kong,Zosteropidae,,2007,orf1ab gene product [White-eye coronavirus HKU16]
YP_005352870,2012-03-30T00:00:00Z,Wigeon coronavirus HKU20,6206,China: Hong Kong,Mareca,,2008,orf1ab gene product [Wigeon coronavirus HKU20]
YP_005352862,2012-03-30T00:00:00Z,Night heron coronavirus HKU19,6280,China: Hong Kong,Ardeidae,,2007,orf1ab gene product [Night heron coronavirus HKU19]
YP_005352845,2012-03-30T00:00:00Z,Sparrow coronavirus HKU17,6277,China: Hong Kong,Passeridae,,2007,replicase polyprotein [Sparrow coronavirus HKU17]
YP_005352853,2012-03-30T00:00:00Z,Magpie-robin coronavirus HKU18,6253,China: Hong Kong,Muscicapidae,,2007,orf1ab gene product [Magpie-robin coronavirus HKU18]
YP_004070193,2010-12-17T00:00:00Z,Alphacoronavirus 1,6709,USA,,,,polyprotein ab [Feline infectious peritonitis virus]
YP_003029844,2009-07-13T00:00:00Z,Murine coronavirus,7172,,Rattus,,,orf1ab polyprotein [Rat coronavirus Parker]
YP_002308496,2008-11-13T00:00:00Z,Thrush coronavirus HKU12,6286,Hong Kong,Turdus hortulorum,,2007-01,orf1ab polyprotein [Thrush coronavirus HKU12-600]
YP_002308505,2008-11-13T00:00:00Z,Munia coronavirus HKU13,6307,Hong Kong,Lonchura striata,,2007-04,orf1ab polyprotein [Munia coronavirus HKU13-3514]
YP_001941164,2008-06-03T00:00:00Z,Avian coronavirus,6602,Canada,Meleagris gallopavo,,,ORF1ab polyprotein [Turkey coronavirus]
YP_001876435,2008-05-01T00:00:00Z,Beluga whale coronavirus SW1,6663,,Delphinapterus leucas,,,ORF 1ab polyprotein [Beluga whale coronavirus SW1]
YP_001718610,2008-03-13T00:00:00Z,Miniopterus bat coronavirus HKU8,6896,Hong Kong,,,,ORF1ab polyprotein [Miniopterus bat coronavirus HKU8]
YP_001718603,2008-03-13T00:00:00Z,Bat coronavirus 1A,6932,Hong Kong,,,,ORF1ab polyprotein [Bat coronavirus 1A]
YP_001552234,2007-11-20T00:00:00Z,Rhinolophus bat coronavirus HKU2,6727,,,,,orf1ab polyprotein [Rhinolophus bat coronavirus HKU2]
YP_001351683,2007-07-24T00:00:00Z,Scotophilus bat coronavirus 512,6793,,,,,ORF1 [Scotophilus bat coronavirus 512]
YP_001039961,2007-02-21T00:00:00Z,Pipistrellus bat coronavirus HKU5,7182,China: Guangdong province,Chiroptera,,,orf1ab polyprotein [Pipistrellus bat coronavirus HKU5]
YP_001039952,2007-02-21T00:00:00Z,Tylonycteris bat coronavirus HKU4,7119,China: Guangdong province,Chiroptera,,,orf1ab polyprotein [Tylonycteris bat coronavirus HKU4]
YP_001039970,2007-02-21T00:00:00Z,Rousettus bat coronavirus HKU9,6930,China: Guangdong province,Chiroptera,,,orf1ab polyprotein [Rousettus bat coronavirus HKU9]
YP_209229,2005-02-22T00:00:00Z,Murine coronavirus,7180,,,,,orf1ab [Murine hepatitis virus strain JHM]
YP_173236,2004-12-28T00:00:00Z,Human coronavirus HKU1,7182,,Homo sapiens,,,orf1ab polyprotein [Human coronavirus HKU1]
YP_003766,2004-03-23T00:00:00Z,Human coronavirus NL63,6729,,,,,replicase polyprotein 1ab [Human coronavirus NL63]
NP_828849,2003-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7073,Canada: Toronto,,blood,,orf1ab polyprotein (pp1ab) [Severe acute respiratory syndrome-related coronavirus]
NP_150073,2001-08-02T00:00:00Z,Betacoronavirus 1,7094,,,,,orf1ab polyprotein [Bovine coronavirus]
NP_598309,2001-04-23T00:00:00Z,Porcine epidemic diarrhea virus,6781,,,,,Pol1 [Porcine epidemic diarrhea virus]
NP_073549,2001-01-11T00:00:00Z,Human coronavirus 229E,6758,,,,,replicase polyprotein 1ab [Human coronavirus 229E]
NP_058422,2000-05-11T00:00:00Z,Alphacoronavirus 1,6685,USA:Indiana,Sus scrofa,,,replicase [Transmissible gastroenteritis virus]
NP_066134,1993-06-12T00:00:00Z,Avian coronavirus,6629,,,,,ORF1ab polyprotein [Infectious bronchitis virus]
QIT06877,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: RI,Homo sapiens,oronasopharynx,2020-02-28,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06889,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-02-26,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06901,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,oronasopharynx,2020-02-27,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06913,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06925,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06937,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: OR,Homo sapiens,oronasopharynx,2020-02-27,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06949,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06961,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06973,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: TX,Homo sapiens,oronasopharynx,2020-02-29,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06985,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,Israel,Homo sapiens,,2020-02,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIT06997,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,Israel,Homo sapiens,,2020-03,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ54047,2020-04-01T00:00:00Z,Pangolin coronavirus,7088,China,Pholidota,,2018,ORF1ab polyprotein [Pangolin coronavirus]
QIA48631,2020-04-01T00:00:00Z,Pangolin coronavirus,7088,China,Manis javanica,,2017,orf1ab polyprotein [Pangolin coronavirus]
QIA48640,2020-04-01T00:00:00Z,Pangolin coronavirus,7088,China,Manis javanica,,2017,orf1ab polyprotein [Pangolin coronavirus]
QIA48613,2020-04-01T00:00:00Z,Pangolin coronavirus,7088,China,Manis javanica,,2017,orf1ab polyprotein [Pangolin coronavirus]
QIA48622,2020-04-01T00:00:00Z,Pangolin coronavirus,7088,China,Manis javanica,,2017,orf1ab polyprotein [Pangolin coronavirus]
QIS60468,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61444,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60408,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60418,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60428,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60438,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60488,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60498,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60508,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60520,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60532,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60544,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60568,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-22,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60592,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60640,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60676,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60688,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-22,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60736,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60338,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61324,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60348,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60368,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61360,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60448,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60760,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61396,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61552,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61408,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61420,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61000,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61012,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61024,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7093,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61036,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61048,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61072,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61084,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61096,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61108,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61120,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61132,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61144,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61156,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61168,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61180,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61192,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61204,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61216,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61228,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61240,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61252,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61264,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-20,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61276,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61288,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61300,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-14,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61312,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60580,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-23,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60616,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60628,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60664,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-22,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60712,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60724,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60298,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61336,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60358,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61348,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60388,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61372,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60274,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7084,Pakistan: KPK,Homo sapiens,oronasopharynx,2020-03-12,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS61384,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60772,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-20,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60784,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60808,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-21,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60856,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60868,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60318,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60378,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60916,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60928,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-21,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60478,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-13,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIS60952,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,,2020-03-24,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
